Dimension;Epsilon;Npoints;point_gen_method;query_method;MinFraction;MaxFraction;AvgFraction;MinNumberOfDistances;MaxNumberOfDistances;AvgNumberOfDistances
6;0.005;1000;get_uniform_points;query_2;0.04;0.1;0.07429999999999999;40;100;74.3
6;0.01;1000;get_uniform_points;query_2;0.03;0.056;0.0385;30;56;38.5
6;0.005;1000;get_uniform_points;query_1;0.045;0.098;0.07;45;98;70.0
6;0.01;1000;get_points;query_1;0.034;0.127;0.08280000000000001;34;127;82.8
6;0.01;1000;get_uniform_points;query_1;0.043;0.096;0.0695;43;96;69.5
8;0.0001;1000;get_points;query_1;0.055;0.183;0.1069;55;183;106.9
8;0.0005;1000;get_points;query_2;0.073;0.149;0.1071;73;149;107.1
8;0.0005;1000;get_uniform_points;query_2;0.062;0.191;0.1369;62;191;136.9
8;0.0005;1000;get_uniform_points;query_1;0.078;0.188;0.1322;78;188;132.2
8;0.0001;1000;get_uniform_points;query_1;0.079;0.188;0.132;79;188;132.0
8;0.0001;1000;get_uniform_points;query_2;0.072;0.213;0.1468;72;213;146.8
8;0.0001;1000;get_points;query_2;0.089;0.173;0.12610000000000002;89;173;126.1
8;0.0005;1000;get_points;query_1;0.055;0.183;0.10669999999999999;55;183;106.7
8;0.005;1000;get_points;query_2;0.013;0.031;0.021899999999999996;13;31;21.9
8;0.005;1000;get_uniform_points;query_2;0.021;0.09;0.0693;21;90;69.3
8;0.01;1000;get_points;query_2;0.002;0.012;0.0068000000000000005;2;12;6.8
8;0.001;1000;get_points;query_2;0.061;0.132;0.09230000000000001;61;132;92.3
8;0.001;1000;get_points;query_1;0.054;0.181;0.1058;54;181;105.8
8;0.001;1000;get_uniform_points;query_2;0.056;0.175;0.1296;56;175;129.6
8;0.01;1000;get_uniform_points;query_2;0.015;0.046;0.033100000000000004;15;46;33.1
8;0.005;1000;get_points;query_1;0.052;0.168;0.10210000000000001;52;168;102.1
8;0.001;1000;get_uniform_points;query_1;0.078;0.189;0.132;78;189;132.0
8;0.005;1000;get_uniform_points;query_1;0.075;0.181;0.1258;75;181;125.8
8;0.01;1000;get_points;query_1;0.049;0.159;0.0985;49;159;98.5
8;0.01;1000;get_uniform_points;query_1;0.071;0.179;0.1236;71;179;123.6
10;0.0001;1000;get_points;query_1;0.148;0.298;0.2212;148;298;221.2
10;0.0001;1000;get_uniform_points;query_2;0.127;0.253;0.2037;127;253;203.7
10;0.0001;1000;get_points;query_2;0.127;0.274;0.2103;127;274;210.3
10;0.0005;1000;get_points;query_1;0.146;0.297;0.219;146;297;219.0
10;0.0005;1000;get_points;query_2;0.11;0.266;0.20139999999999997;110;266;201.4
10;0.0001;1000;get_uniform_points;query_1;0.17;0.279;0.2109;170;279;210.9
10;0.0005;1000;get_uniform_points;query_2;0.12;0.238;0.19659999999999997;120;238;196.6
10;0.0005;1000;get_uniform_points;query_1;0.17;0.278;0.21030000000000001;170;278;210.3
10;0.005;1000;get_points;query_2;0.073;0.154;0.10840000000000001;73;154;108.4
10;0.001;1000;get_points;query_2;0.1;0.264;0.1879;100;264;187.9
10;0.001;1000;get_points;query_1;0.142;0.294;0.2162;142;294;216.2
10;0.001;1000;get_uniform_points;query_2;0.117;0.222;0.1822;117;222;182.2
10;0.005;1000;get_points;query_1;0.125;0.271;0.1984;125;271;198.4
10;0.01;1000;get_points;query_2;0.042;0.074;0.05550000000000001;42;74;55.5
10;0.005;1000;get_uniform_points;query_2;0.064;0.155;0.1189;64;155;118.9
10;0.001;1000;get_uniform_points;query_1;0.168;0.274;0.20859999999999998;168;274;208.6
10;0.01;1000;get_uniform_points;query_2;0.034;0.087;0.0658;34;87;65.8
10;0.005;1000;get_uniform_points;query_1;0.16;0.271;0.20400000000000001;160;271;204.0
10;0.01;1000;get_points;query_1;0.102;0.24;0.17609999999999998;102;240;176.1
10;0.01;1000;get_uniform_points;query_1;0.16;0.263;0.19910000000000003;160;263;199.1
12;0.0001;1000;get_points;query_1;0.234;0.373;0.31899999999999995;234;373;319.0
12;0.0001;1000;get_points;query_2;0.218;0.386;0.33349999999999996;218;386;333.5
12;0.0005;1000;get_points;query_2;0.197;0.347;0.29679999999999995;197;347;296.8
12;0.0001;1000;get_uniform_points;query_2;0.295;0.409;0.35159999999999997;295;409;351.6
12;0.0001;1000;get_uniform_points;query_1;0.24;0.388;0.3219;240;388;321.9
12;0.0005;1000;get_points;query_1;0.231;0.373;0.3171;231;373;317.1
12;0.0005;1000;get_uniform_points;query_1;0.239;0.387;0.3193;239;387;319.3
12;0.005;1000;get_points;query_2;0.04;0.109;0.07749999999999999;40;109;77.5
12;0.0005;1000;get_uniform_points;query_2;0.282;0.407;0.34619999999999995;282;407;346.2
12;0.001;1000;get_points;query_2;0.179;0.309;0.25860000000000005;179;309;258.6
12;0.01;1000;get_points;query_2;0.002;0.029;0.017499999999999998;2;29;17.5
12;0.005;1000;get_uniform_points;query_2;0.161;0.273;0.2237;161;273;223.7
12;0.001;1000;get_points;query_1;0.225;0.374;0.3144;225;374;314.4
12;0.001;1000;get_uniform_points;query_2;0.266;0.387;0.3286;266;387;328.6
12;0.001;1000;get_uniform_points;query_1;0.237;0.398;0.31870000000000004;237;398;318.7
12;0.005;1000;get_uniform_points;query_1;0.23;0.391;0.3102;230;391;310.2
12;0.005;1000;get_points;query_1;0.22;0.377;0.30400000000000005;220;377;304.0
12;0.01;1000;get_uniform_points;query_2;0.08;0.15;0.12329999999999999;80;150;123.3
12;0.01;1000;get_points;query_1;0.2;0.339;0.28540000000000004;200;339;285.4
12;0.01;1000;get_uniform_points;query_1;0.215;0.365;0.29569999999999996;215;365;295.7
14;0.0001;1000;get_points;query_1;0.342;0.479;0.4191999999999999;342;479;419.2
14;0.0001;1000;get_points;query_2;0.305;0.51;0.42000000000000004;305;510;420.0
14;0.0005;1000;get_points;query_1;0.336;0.475;0.4159;336;475;415.9
14;0.0001;1000;get_uniform_points;query_2;0.307;0.579;0.4425;307;579;442.5
14;0.0005;1000;get_points;query_2;0.275;0.461;0.3809;275;461;380.9
14;0.0005;1000;get_uniform_points;query_2;0.292;0.553;0.4237;292;553;423.7
14;0.0001;1000;get_uniform_points;query_1;0.509;0.616;0.5485;509;616;548.5
14;0.005;1000;get_points;query_2;0.08;0.139;0.10800000000000001;80;139;108.0
14;0.001;1000;get_points;query_1;0.333;0.473;0.40990000000000004;333;473;409.9
14;0.001;1000;get_points;query_2;0.246;0.416;0.33030000000000004;246;416;330.3
14;0.0005;1000;get_uniform_points;query_1;0.508;0.615;0.5475;508;615;547.5
14;0.01;1000;get_points;query_2;0.017;0.033;0.023899999999999998;17;33;23.9
14;0.005;1000;get_points;query_1;0.31;0.473;0.3891;310;473;389.1
14;0.001;1000;get_uniform_points;query_2;0.285;0.508;0.39780000000000004;285;508;397.8
14;0.01;1000;get_uniform_points;query_2;0.072;0.19;0.1376;72;190;137.6
14;0.005;1000;get_uniform_points;query_2;0.153;0.351;0.2612;153;351;261.2
14;0.01;1000;get_points;query_1;0.306;0.427;0.3599;306;427;359.9
14;0.001;1000;get_uniform_points;query_1;0.507;0.615;0.5467000000000001;507;615;546.7
14;0.005;1000;get_uniform_points;query_1;0.501;0.614;0.5394;501;614;539.4
14;0.01;1000;get_uniform_points;query_1;0.485;0.598;0.5232;485;598;523.2
16;0.0001;1000;get_points;query_1;0.373;0.598;0.5012;373;598;501.2
16;0.0001;1000;get_uniform_points;query_1;0.364;0.62;0.4854;364;620;485.4
16;0.0001;1000;get_points;query_2;0.158;0.556;0.40730000000000005;158;556;407.3
16;0.0001;1000;get_uniform_points;query_2;0.318;0.61;0.5285;318;610;528.5
16;0.0005;1000;get_points;query_2;0.136;0.533;0.38180000000000003;136;533;381.8
16;0.0005;1000;get_points;query_1;0.371;0.596;0.49879999999999997;371;596;498.8
16;0.005;1000;get_points;query_2;0.032;0.178;0.11329999999999998;32;178;113.3
16;0.0005;1000;get_uniform_points;query_1;0.361;0.619;0.4835;361;619;483.5
16;0.001;1000;get_points;query_2;0.104;0.466;0.34109999999999996;104;466;341.1
16;0.0005;1000;get_uniform_points;query_2;0.305;0.598;0.5056;305;598;505.6
16;0.01;1000;get_points;query_2;0.008;0.039;0.0258;8;39;25.8
16;0.001;1000;get_uniform_points;query_1;0.361;0.618;0.4837999999999999;361;618;483.8
16;0.001;1000;get_points;query_1;0.367;0.59;0.49540000000000006;367;590;495.4
16;0.001;1000;get_uniform_points;query_2;0.278;0.595;0.4909;278;595;490.9
16;0.005;1000;get_uniform_points;query_2;0.243;0.414;0.3507;243;414;350.7
16;0.005;1000;get_points;query_1;0.345;0.573;0.4701000000000001;345;573;470.1
16;0.01;1000;get_uniform_points;query_2;0.088;0.273;0.20950000000000002;88;273;209.5
16;0.005;1000;get_uniform_points;query_1;0.347;0.609;0.4709999999999999;347;609;471.0
16;0.01;1000;get_points;query_1;0.327;0.538;0.43760000000000004;327;538;437.6
16;0.01;1000;get_uniform_points;query_1;0.34;0.589;0.45709999999999995;340;589;457.1
18;0.0001;1000;get_points;query_1;0.517;0.631;0.5740000000000001;517;631;574.0
18;0.0001;1000;get_points;query_2;0.399;0.745;0.5771999999999999;399;745;577.2
18;0.0005;1000;get_points;query_2;0.33;0.688;0.5145000000000001;330;688;514.5
18;0.0005;1000;get_points;query_1;0.513;0.618;0.5681;513;618;568.1
18;0.0001;1000;get_uniform_points;query_1;0.509;0.728;0.6306;509;728;630.6
18;0.0001;1000;get_uniform_points;query_2;0.49;0.819;0.6699999999999999;490;819;670.0
18;0.005;1000;get_points;query_2;0.065;0.162;0.11589999999999998;65;162;115.9
18;0.0005;1000;get_uniform_points;query_1;0.493;0.727;0.6271000000000001;493;727;627.1
18;0.001;1000;get_points;query_2;0.268;0.561;0.43600000000000005;268;561;436.0
18;0.0005;1000;get_uniform_points;query_2;0.465;0.806;0.6483;465;806;648.3
18;0.001;1000;get_points;query_1;0.506;0.614;0.5640000000000001;506;614;564.0
18;0.01;1000;get_points;query_2;0.014;0.033;0.020999999999999998;14;33;21.0
18;0.005;1000;get_points;query_1;0.47;0.58;0.5304;470;580;530.4
18;0.001;1000;get_uniform_points;query_1;0.493;0.725;0.6243000000000001;493;725;624.3
18;0.01;1000;get_uniform_points;query_2;0.198;0.471;0.3056;198;471;305.6
18;0.005;1000;get_uniform_points;query_2;0.323;0.661;0.48319999999999996;323;661;483.2
18;0.001;1000;get_uniform_points;query_2;0.469;0.787;0.6315000000000001;469;787;631.5
18;0.01;1000;get_points;query_1;0.447;0.539;0.49260000000000004;447;539;492.6
18;0.005;1000;get_uniform_points;query_1;0.472;0.707;0.6073;472;707;607.3
18;0.01;1000;get_uniform_points;query_1;0.462;0.69;0.5898;462;690;589.8
20;0.0001;1000;get_points;query_1;0.442;0.713;0.6099;442;713;609.9
20;0.0005;1000;get_points;query_1;0.444;0.725;0.6088;444;725;608.8
20;0.0001;1000;get_points;query_2;0.573;0.757;0.6785;573;757;678.5
20;0.0005;1000;get_points;query_2;0.55;0.717;0.6342;550;717;634.2
20;0.0001;1000;get_uniform_points;query_2;0.695;0.849;0.7692;695;849;769.2
20;0.0001;1000;get_uniform_points;query_1;0.791;0.94;0.8711;791;940;871.1
20;0.001;1000;get_points;query_1;0.437;0.72;0.6061;437;720;606.1
20;0.005;1000;get_points;query_2;0.139;0.243;0.1774;139;243;177.4
20;0.0005;1000;get_uniform_points;query_2;0.665;0.839;0.7442;665;839;744.2
20;0.0005;1000;get_uniform_points;query_1;0.789;0.94;0.8707;789;940;870.7
20;0.01;1000;get_points;query_2;0.02;0.046;0.033;20;46;33.0
20;0.001;1000;get_points;query_2;0.467;0.641;0.5605999999999999;467;641;560.6
20;0.005;1000;get_points;query_1;0.404;0.767;0.5900000000000001;404;767;590.0
20;0.01;1000;get_uniform_points;query_2;0.198;0.378;0.29359999999999997;198;378;293.6
2;0.0001;2000;get_points;query_1;0.0045;0.0165;0.011;9;33;22.0
2;0.0001;2000;get_points;query_2;0.0065;0.016;0.009999999999999998;13;32;20.0
2;0.0001;2000;get_uniform_points;query_2;0.003;0.0175;0.008050000000000002;6;35;16.1
2;0.0001;2000;get_uniform_points;query_1;0.0075;0.0195;0.013000000000000001;15;39;26.0
2;0.0005;2000;get_points;query_1;0.0045;0.0165;0.010949999999999998;9;33;21.9
2;0.0005;2000;get_points;query_2;0.0065;0.016;0.009699999999999999;13;32;19.4
20;0.001;1000;get_uniform_points;query_2;0.639;0.814;0.7234;639;814;723.4
2;0.0005;2000;get_uniform_points;query_2;0.003;0.014;0.007300000000000001;6;28;14.6
2;0.0005;2000;get_uniform_points;query_1;0.0075;0.0195;0.013000000000000001;15;39;26.0
2;0.001;2000;get_points;query_1;0.0045;0.016;0.011049999999999999;9;32;22.1
2;0.001;2000;get_points;query_2;0.0065;0.016;0.0095;13;32;19.0
2;0.001;2000;get_uniform_points;query_2;0.0025;0.0135;0.0068000000000000005;5;27;13.6
2;0.005;2000;get_points;query_1;0.0045;0.015;0.010399999999999998;9;30;20.8
2;0.001;2000;get_uniform_points;query_1;0.007;0.0195;0.01295;14;39;25.9
2;0.005;2000;get_points;query_2;0.0065;0.014;0.009;13;28;18.0
2;0.005;2000;get_uniform_points;query_2;0.001;0.0065;0.0034000000000000002;2;13;6.8
2;0.005;2000;get_uniform_points;query_1;0.007;0.019;0.012750000000000001;14;38;25.5
2;0.01;2000;get_points;query_1;0.0045;0.015;0.010049999999999998;9;30;20.1
2;0.01;2000;get_points;query_2;0.0055;0.0135;0.008000000000000002;11;27;16.0
2;0.01;2000;get_uniform_points;query_2;0.001;0.004;0.0024000000000000002;2;8;4.8
2;0.01;2000;get_uniform_points;query_1;0.0065;0.0165;0.0124;13;33;24.8
20;0.005;1000;get_uniform_points;query_2;0.436;0.616;0.5279999999999999;436;616;528.0
4;0.0001;2000;get_points;query_2;0.0105;0.0445;0.02525;21;89;50.5
4;0.0001;2000;get_uniform_points;query_1;0.0205;0.0385;0.026750000000000003;41;77;53.5
4;0.0001;2000;get_points;query_1;0.0175;0.0405;0.029300000000000003;35;81;58.6
4;0.0001;2000;get_uniform_points;query_2;0.0175;0.035;0.0259;35;70;51.8
20;0.001;1000;get_uniform_points;query_1;0.788;0.94;0.8702;788;940;870.2
20;0.01;1000;get_points;query_1;0.37;0.72;0.5605999999999999;370;720;560.6
4;0.0005;2000;get_points;query_2;0.0075;0.0365;0.021249999999999998;15;73;42.5
4;0.0005;2000;get_uniform_points;query_2;0.0175;0.0305;0.0237;35;61;47.4
4;0.0005;2000;get_points;query_1;0.0175;0.0405;0.029300000000000003;35;81;58.6
4;0.0005;2000;get_uniform_points;query_1;0.0205;0.0385;0.0267;41;77;53.4
4;0.001;2000;get_points;query_2;0.006;0.03;0.0178;12;60;35.6
4;0.005;2000;get_points;query_2;0.003;0.01;0.005349999999999999;6;20;10.7
4;0.001;2000;get_uniform_points;query_2;0.016;0.0275;0.020999999999999998;32;55;42.0
4;0.001;2000;get_points;query_1;0.0175;0.0405;0.029250000000000005;35;81;58.5
4;0.005;2000;get_uniform_points;query_2;0.008;0.0165;0.010899999999999998;16;33;21.8
4;0.001;2000;get_uniform_points;query_1;0.0205;0.0385;0.0268;41;77;53.6
4;0.005;2000;get_points;query_1;0.0165;0.0405;0.028850000000000004;33;81;57.7
4;0.01;2000;get_points;query_2;0.001;0.004;0.0021999999999999997;2;8;4.4
4;0.005;2000;get_uniform_points;query_1;0.02;0.0375;0.02615;40;75;52.3
4;0.01;2000;get_uniform_points;query_2;0.0025;0.008;0.0058000000000000005;5;16;11.6
4;0.01;2000;get_points;query_1;0.0165;0.04;0.028750000000000005;33;80;57.5
4;0.01;2000;get_uniform_points;query_1;0.02;0.0375;0.0259;40;75;51.8
6;0.0001;2000;get_uniform_points;query_1;0.0185;0.0525;0.040499999999999994;37;105;81.0
6;0.0001;2000;get_points;query_2;0.0305;0.059;0.04485;61;118;89.7
6;0.0001;2000;get_points;query_1;0.035;0.077;0.05920000000000001;70;154;118.4
6;0.0001;2000;get_uniform_points;query_2;0.054;0.0835;0.071;108;167;142.0
6;0.0005;2000;get_points;query_2;0.0255;0.0515;0.04129999999999999;51;103;82.6
6;0.0005;2000;get_points;query_1;0.0345;0.076;0.058800000000000005;69;152;117.6
6;0.0005;2000;get_uniform_points;query_1;0.0185;0.0525;0.04015;37;105;80.3
20;0.005;1000;get_uniform_points;query_1;0.778;0.932;0.8611000000000001;778;932;861.1
6;0.0005;2000;get_uniform_points;query_2;0.0585;0.08;0.07010000000000001;117;160;140.2
6;0.001;2000;get_points;query_2;0.0255;0.047;0.037200000000000004;51;94;74.4
6;0.001;2000;get_points;query_1;0.04;0.0755;0.0591;80;151;118.2
6;0.005;2000;get_points;query_2;0.01;0.0245;0.0171;20;49;34.2
6;0.001;2000;get_uniform_points;query_1;0.0185;0.0495;0.03965;37;99;79.3
6;0.01;2000;get_points;query_2;0.005;0.012;0.0083;10;24;16.6
6;0.005;2000;get_points;query_1;0.0355;0.07;0.05539999999999999;71;140;110.8
6;0.001;2000;get_uniform_points;query_2;0.0525;0.0775;0.06775;105;155;135.5
6;0.005;2000;get_uniform_points;query_1;0.017;0.0475;0.03779999999999999;34;95;75.6
6;0.01;2000;get_uniform_points;query_1;0.016;0.0455;0.0358;32;91;71.6
20;0.01;1000;get_uniform_points;query_1;0.765;0.926;0.8512000000000001;765;926;851.2
6;0.01;2000;get_points;query_1;0.033;0.0665;0.0504;66;133;100.8
6;0.005;2000;get_uniform_points;query_2;0.0435;0.063;0.05555;87;126;111.1
6;0.01;2000;get_uniform_points;query_2;0.0325;0.0455;0.03949999999999999;65;91;79.0
8;0.0001;2000;get_points;query_1;0.064;0.133;0.09875;128;266;197.5
8;0.0001;2000;get_uniform_points;query_1;0.048;0.1255;0.08465;96;251;169.3
8;0.0001;2000;get_points;query_2;0.032;0.136;0.08705000000000002;64;272;174.1
8;0.0001;2000;get_uniform_points;query_2;0.055;0.147;0.0941;110;294;188.2
8;0.0005;2000;get_uniform_points;query_2;0.0555;0.143;0.09095;111;286;181.9
8;0.0005;2000;get_points;query_1;0.064;0.132;0.09824999999999999;128;264;196.5
8;0.0005;2000;get_points;query_2;0.027;0.1255;0.07930000000000001;54;251;158.6
8;0.0005;2000;get_uniform_points;query_1;0.048;0.1255;0.0843;96;251;168.6
8;0.005;2000;get_points;query_2;0.009;0.046;0.029250000000000005;18;92;58.5
8;0.001;2000;get_points;query_2;0.0205;0.106;0.0704;41;212;140.8
8;0.005;2000;get_uniform_points;query_2;0.034;0.0945;0.059399999999999994;68;189;118.8
8;0.01;2000;get_points;query_2;0.0055;0.016;0.0101;11;32;20.2
8;0.001;2000;get_uniform_points;query_2;0.054;0.1395;0.08735000000000001;108;279;174.7
8;0.001;2000;get_uniform_points;query_1;0.048;0.125;0.08424999999999999;96;250;168.5
8;0.001;2000;get_points;query_1;0.063;0.131;0.09790000000000001;126;262;195.8
8;0.005;2000;get_uniform_points;query_1;0.049;0.1215;0.08214999999999999;98;243;164.3
8;0.005;2000;get_points;query_1;0.0605;0.128;0.09085;121;256;181.7
8;0.01;2000;get_uniform_points;query_2;0.0205;0.0635;0.04;41;127;80.0
8;0.01;2000;get_points;query_1;0.057;0.1195;0.0845;114;239;169.0
8;0.01;2000;get_uniform_points;query_1;0.048;0.1195;0.07844999999999999;96;239;156.9
10;0.0001;2000;get_points;query_1;0.0795;0.1945;0.15045;159;389;300.9
10;0.0005;2000;get_points;query_2;0.059;0.2275;0.15035;118;455;300.7
10;0.0005;2000;get_points;query_1;0.0775;0.196;0.1497;155;392;299.4
10;0.0001;2000;get_uniform_points;query_1;0.101;0.1765;0.14135;202;353;282.7
10;0.0001;2000;get_points;query_2;0.059;0.2635;0.1664;118;527;332.8
10;0.0001;2000;get_uniform_points;query_2;0.127;0.2375;0.18295;254;475;365.9
10;0.0005;2000;get_uniform_points;query_1;0.101;0.1765;0.14135;202;353;282.7
10;0.005;2000;get_points;query_2;0.0135;0.0585;0.03774999999999999;27;117;75.5
10;0.0005;2000;get_uniform_points;query_2;0.1355;0.242;0.17439999999999997;271;484;348.8
10;0.001;2000;get_points;query_1;0.076;0.1945;0.1485;152;389;297.0
10;0.01;2000;get_points;query_2;0.0035;0.014;0.00975;7;28;19.5
10;0.001;2000;get_points;query_2;0.0505;0.2065;0.1272;101;413;254.4
10;0.005;2000;get_uniform_points;query_2;0.0535;0.124;0.08519999999999998;107;248;170.4
10;0.01;2000;get_uniform_points;query_2;0.031;0.056;0.04035;62;112;80.7
10;0.005;2000;get_points;query_1;0.073;0.1795;0.13789999999999997;146;359;275.8
10;0.001;2000;get_uniform_points;query_1;0.1005;0.1735;0.1406;201;347;281.2
10;0.001;2000;get_uniform_points;query_2;0.129;0.2245;0.1641;258;449;328.2
10;0.01;2000;get_points;query_1;0.065;0.1655;0.12785;130;331;255.7
10;0.005;2000;get_uniform_points;query_1;0.098;0.1735;0.13795;196;347;275.9
10;0.01;2000;get_uniform_points;query_1;0.092;0.1675;0.134;184;335;268.0
12;0.0001;2000;get_points;query_2;0.0485;0.181;0.12440000000000002;97;362;248.8
12;0.0005;2000;get_points;query_2;0.045;0.156;0.1078;90;312;215.6
12;0.0001;2000;get_uniform_points;query_1;0.147;0.2285;0.19039999999999999;294;457;380.8
12;0.0001;2000;get_points;query_1;0.178;0.282;0.2253;356;564;450.6
12;0.0001;2000;get_uniform_points;query_2;0.0795;0.2915;0.20385;159;583;407.7
12;0.0005;2000;get_uniform_points;query_1;0.146;0.228;0.18970000000000004;292;456;379.4
12;0.0005;2000;get_points;query_1;0.183;0.276;0.22409999999999997;366;552;448.2
12;0.005;2000;get_points;query_2;0.006;0.032;0.0217;12;64;43.4
12;0.0005;2000;get_uniform_points;query_2;0.065;0.2855;0.19119999999999998;130;571;382.4
12;0.001;2000;get_points;query_2;0.0355;0.1365;0.09155;71;273;183.1
12;0.01;2000;get_points;query_2;0.002;0.007;0.00455;4;14;9.1
12;0.005;2000;get_uniform_points;query_2;0.043;0.1755;0.1146;86;351;229.2
12;0.001;2000;get_uniform_points;query_2;0.0585;0.277;0.18180000000000002;117;554;363.6
12;0.001;2000;get_points;query_1;0.18;0.2705;0.2198;360;541;439.6
12;0.001;2000;get_uniform_points;query_1;0.1505;0.225;0.18880000000000002;301;450;377.6
12;0.01;2000;get_uniform_points;query_2;0.0175;0.099;0.05985;35;198;119.7
12;0.005;2000;get_points;query_1;0.153;0.2645;0.20504999999999995;306;529;410.1
12;0.005;2000;get_uniform_points;query_1;0.1445;0.22;0.17965;289;440;359.3
12;0.01;2000;get_points;query_1;0.1435;0.24;0.18535;287;480;370.7
12;0.01;2000;get_uniform_points;query_1;0.1285;0.2105;0.16795;257;421;335.9
14;0.0005;2000;get_points;query_2;0.1465;0.297;0.22174999999999997;293;594;443.5
14;0.0001;2000;get_points;query_2;0.1795;0.348;0.26234999999999997;359;696;524.7
14;0.0001;2000;get_points;query_1;0.237;0.3825;0.29560000000000003;474;765;591.2
14;0.0005;2000;get_points;query_1;0.235;0.382;0.2932;470;764;586.4
